episode,seed,algorithm,scenario,reward,length,success,collision,terminated,truncated,termination_reason,final_distance,flags_collected,epsilon,exploration_mode,random_action_steps,environment_steps,critic_updates,actor_updates,critic_loss,actor_loss,alpha_loss,alpha,td_error
1,0,,,-157.52030154130932,176,False,True,True,False,collision,9.667187690734863,,,uniform_warmup,176,176,0,0,,,,,
2,1,,,-120.39556162375541,127,False,True,True,False,collision,8.48930549621582,,,uniform_warmup,127,303,0,0,,,,,
3,2,,,-122.2277776976478,45,False,True,True,False,collision,10.856535911560059,,,uniform_warmup,45,348,0,0,,,,,
4,3,,,-109.5719729864413,26,False,True,True,False,collision,10.471500396728516,,,uniform_warmup,26,374,0,0,,,,,
5,4,,,-179.01208806452325,277,False,True,True,False,collision,8.465948104858398,,,uniform_warmup,277,651,0,0,,,,,
6,5,,,-125.25036985359421,46,False,True,True,False,collision,11.112899780273438,,,uniform_warmup,46,697,0,0,,,,,
7,6,,,-241.13096818168972,414,False,True,True,False,collision,8.97140121459961,,,uniform_warmup,414,1111,0,0,,,,,
8,7,,,-162.07661646853342,350,False,True,True,False,collision,5.651692867279053,,,uniform_warmup,350,1461,0,0,,,,,
9,8,,,-262.7855332351485,441,False,True,True,False,collision,10.318848609924316,,,uniform_warmup,441,1902,0,0,,,,,
10,9,,,-189.4071167641976,313,False,True,True,False,collision,8.682499885559082,,,uniform_warmup,313,2215,0,0,,,,,
11,10,,,-214.88055600621027,356,False,True,True,False,collision,8.678702354431152,,,uniform_warmup,356,2571,0,0,,,,,
12,11,,,-134.81864190780368,131,False,True,True,False,collision,9.45687484741211,,,uniform_warmup,131,2702,0,0,,,,,
13,12,,,-164.19201844206304,216,False,True,True,False,collision,9.068655967712402,,,uniform_warmup,216,2918,0,0,,,,,
14,13,,,-127.2573030107857,79,False,True,True,False,collision,10.082924842834473,,,uniform_warmup,79,2997,0,0,,,,,
15,14,,,-181.00459641782368,263,False,True,True,False,collision,8.903897285461426,,,uniform_warmup,263,3260,0,0,,,,,
16,15,,,-124.79471287789323,46,False,True,True,False,collision,10.916102409362793,,,uniform_warmup,46,3306,0,0,,,,,
17,16,,,-180.0205234827302,277,False,True,True,False,collision,8.76566219329834,,,uniform_warmup,277,3583,0,0,,,,,
18,17,,,-129.56924688075847,95,False,True,True,False,collision,9.982587814331055,,,uniform_warmup,95,3678,0,0,,,,,
19,18,,,-121.37684213025302,42,False,True,True,False,collision,10.765582084655762,,,uniform_warmup,42,3720,0,0,,,,,
20,19,,,-115.62682697867379,56,False,True,True,False,collision,10.159674644470215,,,uniform_warmup,56,3776,0,0,,,,,
21,20,,,-134.91251394317902,146,False,True,True,False,collision,9.212389945983887,,,uniform_warmup,146,3922,0,0,,,,,
22,21,,,-144.30091114662852,370,False,True,True,False,collision,3.609412670135498,,,uniform_warmup,370,4292,0,0,,,,,
23,22,,,-113.93580708845782,155,False,True,True,False,collision,7.278309345245361,,,uniform_warmup,155,4447,0,0,,,,,
24,23,,,-170.43477018995534,222,False,True,True,False,collision,9.121959686279297,,,uniform_warmup,222,4669,0,0,,,,,
25,24,,,-118.52142058218483,56,False,True,True,False,collision,10.406798362731934,,,uniform_warmup,56,4725,0,0,,,,,
26,25,,,-121.12520770318379,48,False,True,True,False,collision,10.701220512390137,,,uniform_warmup,48,4773,0,0,,,,,
27,26,,,-163.34043063540392,253,False,True,True,False,collision,8.622900009155273,,,mixed_warmup_policy,227,5026,27,27,34.703580467237366,0.41837397357448936,,,
28,27,,,-163.64612317867636,176,False,True,True,False,collision,10.822887420654297,,,ou_noise,0,5202,203,203,49.0320253205401,0.6152935981411826,,,
29,28,,,-304.4618308419326,722,False,True,True,False,collision,5.714913368225098,,,ou_noise,0,5924,925,925,45.10397091081722,0.3614736032437461,,,
30,29,,,-251.01691538162882,558,False,True,True,False,collision,5.694121837615967,,,ou_noise,0,6482,1483,1483,36.19451848153145,0.22362025967577145,,,
31,30,,,35.946202827364885,588,True,False,True,False,success,0.4662281274795532,,,ou_noise,0,7070,2071,2071,30.081293415835724,0.21113441518918125,,,
32,31,,,-98.09263373686031,138,False,True,True,False,collision,6.063699245452881,,,ou_noise,0,7208,2209,2209,25.20946409785445,0.19045710937875876,,,
33,32,,,122.94744680969725,273,True,False,True,False,success,0.46150732040405273,,,ou_noise,0,7481,2482,2482,23.125355759765203,0.1484861535884972,,,
34,33,,,-78.10070060899812,88,False,True,True,False,collision,5.765782356262207,,,ou_noise,0,7569,2570,2570,25.015526954931293,0.14409105903045696,,,
35,34,,,158.0666814949301,157,True,False,True,False,success,0.4882603883743286,,,ou_noise,0,7726,2727,2727,29.535820369602767,0.09667261120430223,,,
36,35,,,156.01759217667131,166,True,False,True,False,success,0.4862555265426636,,,ou_noise,0,7892,2893,2893,29.016242323151555,0.041107133314215456,,,
37,36,,,154.41687016937624,168,True,False,True,False,success,0.47417211532592773,,,ou_noise,0,8060,3061,3061,29.11480345217777,-0.005676445971143299,,,
38,37,,,2.02299461374254,585,True,False,True,False,success,0.48237937688827515,,,ou_noise,0,8645,3646,3646,25.122322477820592,-0.19546562243635074,,,
39,38,,,-94.7349864244318,138,False,True,True,False,collision,5.531546115875244,,,ou_noise,0,8783,3784,3784,26.345710503666297,-0.3699061462007787,,,
40,39,,,-75.31762044894947,136,False,True,True,False,collision,3.7577364444732666,,,ou_noise,0,8919,3920,3920,29.94210923167274,-0.47507346085930136,,,
41,40,,,-76.82040814672636,149,False,True,True,False,collision,3.4526305198669434,,,ou_noise,0,9068,4069,4069,23.259610608420115,-0.4955064786860607,,,
42,41,,,-93.32313167623163,124,False,True,True,False,collision,5.956125736236572,,,ou_noise,0,9192,4193,4193,24.266725684966772,-0.6380192718558735,,,
43,42,,,-103.78539381198311,23,False,True,True,False,collision,10.09946060180664,,,ou_noise,0,9215,4216,4216,25.05048909135487,-0.7939013398211935,,,
44,43,,,66.90773246126984,413,True,False,True,False,success,0.4018442630767822,,,ou_noise,0,9628,4629,4629,27.404085328554416,-0.5996573957328213,,,
45,44,,,-88.87941142502588,55,False,True,True,False,collision,7.815956115722656,,,ou_noise,0,9683,4684,4684,29.03538521528244,-0.591838972676884,,,
46,45,,,-59.62015042844246,85,False,True,True,False,collision,4.32225227355957,,,ou_noise,0,9768,4769,4769,30.769328793708016,-0.822579901008045,,,
47,46,,,-173.29973420005842,417,False,True,True,False,collision,3.4000871181488037,,,ou_noise,0,10185,5186,5186,28.797977989383167,-0.8194703278209952,,,
48,47,,,-269.3280551109963,654,False,True,True,False,collision,4.247680187225342,,,ou_noise,0,10839,5840,5840,26.611197261817594,-1.0444370914672128,,,
49,48,,,50.49017177726596,436,True,False,True,False,success,0.40727120637893677,,,ou_noise,0,11275,6276,6276,25.821742982150763,-1.2114029284737526,,,
50,49,,,-455.88986328555006,1000,False,False,False,True,cutoff,9.35800552368164,,,ou_noise,0,12275,7276,7276,25.53230677190423,-1.433082853257656,,,
51,50,,,-333.5387362281017,1000,False,False,False,True,cutoff,5.423094272613525,,,ou_noise,0,13275,8276,8276,22.377297442138197,-1.7902620903849602,,,
52,51,,,-345.18513603388783,1000,False,False,False,True,cutoff,6.75324010848999,,,ou_noise,0,14275,9276,9276,20.092306744873525,-2.0444611471891405,,,
